TBA,,Jade Lovers,add,,"Chinese Drama, 0000, 35 eps",,,Bai Luo Han,,(Main Role),,,,35,,,Bai Luo Han,,Main Role,,,,0.0,
TBA,,Mr. Right,add,,"Chinese Drama, 0000, 36 eps",,,Wang Wei An,,(Main Role),,,,36,,,Wang Wei An,,Main Role,,,,0.0,
2024,,Gyeongseong Creature Season 2,add,,"Korean Drama, 2024, 0 eps",,,Jang Tae Sang,(Main Role),,,,0,,,Jang Tae Sang,Main Role,,,,0.0,
2023,,Hopeless,add,,,Movie,,,,0.0,
2024,,Queen of Tears,add,,"Korean Drama, 2024, 16 eps",,,Baek Hyun Woo,(Main Role),,,,16,,,Baek Hyun Woo,Main Role,,,,0.0,
TBA,,Pachinko Season 2,add,,"Korean Drama, 0000, 1 eps",,,Ko Han Su,(Main Role),,,,1,,,Ko Han Su,Main Role,,,,0.0,
2025,,You Have Done Well,add,,"Korean Drama, 2025, 12 eps",,,Ae Soon [Young Age],(Main Role),,,,12,,,Ae Soon [Young Age],Main Role,,,,0.0,
TBA,,Here,add,,"Korean Drama, 0000, 0 eps",,,,(Main Role),,,,0,,,,Main Role,,,,0.0,
2023,,Arthdal Chronicles: The Sword of Aramun,add,,"Korean Drama, 2023, 12 eps",,,Eun Seom  | Sa Ya,(Main Role),,,,12,,,Eun Seom  | Sa Ya,Main Role,,,,0.0,
2024,,The Killer's Shopping Mall,add,,"Korean Drama, 2024, 8 eps",,,Jeong Jin Man,(Main Role),,,,8,,,Jeong Jin Man,Main Role,,,,0.0,
2023,,Strong Woman Kang Nam Soon,add,,"Korean Drama, 2023, 16 eps",,,Ahn Min Hyuk ,(Guest Role),,,,16,,,Ahn Min Hyuk ,Guest Role,,,,0.0,
TBA,,The Trunk,add,,"Korean Drama, 0000, 8 eps",,,Han Jeong Won,(Main Role),,,,8,,,Han Jeong Won,Main Role,,,,0.0,
TBA,,Good Boy,add,,"Korean Drama, 0000, 1 eps",,,Yoon Dong Ju,(Main Role),,,,1,,,Yoon Dong Ju,Main Role,,,,0.0,
2023,,Doctor Slump,add,,"Korean Drama, 2023, 0 eps",,,Nam Ha Neul,(Main Role),,,,0,,,Nam Ha Neul,Main Role,,,,0.0,
TBA,,A Record of a Mortal's Journey to Immortality,add,,"Chinese Drama, 0000, 40 eps",,,Han Li,(Main Role),,,,40,,,Han Li,Main Role,,,,0.0,
2023,,Trap by Seo In Guk,add,,,Movie,,,,7.7,
TBA,,Braveness of the Ming,add,,"Chinese Drama, 0000, 30 eps",,,Xie Yu Fei,,(Main Role),,,,30,,,Xie Yu Fei,,Main Role,,,,0.0,
TBA,,Tibetan Sea Opera,add,,"Chinese Drama, 0000, 30 eps",,,Wang Zang Hai,(Main Role),,,,30,,,Wang Zang Hai,Main Role,,,,0.0,
2024,,Everything Will Come True,add,,"Korean Drama, 2024, 12 eps",,,Genie,(Main Role),,,,12,,,Genie,Main Role,,,,0.0,
TBA,,Good Boy,add,,"Korean Drama, 0000, 1 eps",,,,(Main Role),,,,1,,,,Main Role,,,,0.0,
